"Date","Price","Open","High","Low","Vol.","Change %"
"01/18/2019","83.650","83.650","83.650","83.650","","0.57%"
"01/17/2019","83.180","83.945","84.030","83.565","0.02K","-0.29%"
"01/16/2019","83.420","83.945","84.095","83.685","0.00K","0.00%"
"01/15/2019","83.420","83.945","84.040","83.685","0.00K","-0.10%"
"01/14/2019","83.500","83.945","84.040","83.725","0.01K","0.29%"
"01/11/2019","83.260","83.685","83.690","83.645","0.00K","-0.19%"
"01/10/2019","83.420","83.945","83.980","83.685","0.00K","0.29%"
"01/09/2019","83.180","83.945","84.045","83.565","0.01K","-0.29%"
"01/08/2019","83.420","83.945","84.015","83.685","0.01K","-0.19%"
"01/07/2019","83.580","83.945","84.040","83.740","0.01K","0.12%"
"01/04/2019","83.480","83.930","83.965","83.810","0.01K","-0.18%"
"01/03/2019","83.630","83.895","83.995","83.765","0.01K","0.22%"
"01/02/2019","83.450","83.895","83.945","83.675","0.01K","-0.48%"
"01/01/2019","83.850","83.895","83.895","83.875","0.01K","0.29%"
"12/31/2018","83.610","83.610","83.610","83.610","","0.58%"
"12/28/2018","83.130","83.700","83.730","83.580","","-0.38%"
"12/27/2018","83.450","83.895","83.955","83.675","","-0.04%"
"12/26/2018","83.480","83.895","84.015","83.690","","-0.28%"
"12/25/2018","83.715","83.715","83.715","83.715","","0.33%"
"12/24/2018","83.440","83.895","83.940","83.670","","0.05%"
"12/21/2018","83.400","83.930","83.970","83.770","","0.19%"
"12/20/2018","83.240","83.895","83.965","83.570","","-0.38%"
"12/19/2018","83.560","83.895","84.015","83.730","","0.10%"
"12/18/2018","83.480","83.895","83.950","83.690","","-0.29%"
"12/17/2018","83.720","83.895","83.915","83.810","","0.46%"
"12/14/2018","83.340","83.795","83.815","83.675","","-0.38%"
"12/13/2018","83.660","83.895","83.945","83.780","","0.12%"
"12/12/2018","83.560","83.895","83.950","83.730","","0.07%"
"12/11/2018","83.500","83.895","83.935","83.700","","0.01%"
"12/10/2018","83.490","83.890","83.955","83.695","","0.40%"
"12/07/2018","83.160","83.715","83.730","83.595","","-0.38%"
"12/06/2018","83.480","83.895","83.950","83.690","","0.29%"
"12/05/2018","83.240","83.890","84.050","83.570","","0.19%"
"12/04/2018","83.080","83.945","84.010","83.490","","-0.95%"
"12/03/2018","83.880","83.895","83.895","83.890","","-0.97%"
"11/30/2018","84.700","85.170","85.170","85.170","","1.26%"
"11/29/2018","83.650","83.895","83.910","83.775","","-0.11%"
"11/28/2018","83.740","83.895","83.925","83.820","","0.31%"
"11/27/2018","83.480","83.895","83.920","83.690","","-0.29%"
"11/26/2018","83.720","83.890","85.170","83.810","","-0.20%"
"11/23/2018","83.890","83.890","83.890","83.890","","0.01%"
"11/22/2018","83.880","83.895","83.895","83.865","","0.98%"
"11/21/2018","83.070","83.535","83.535","83.535","","-0.10%"
"11/20/2018","83.150","83.875","83.925","83.515","","-0.57%"
"11/19/2018","83.630","83.875","83.900","83.755","","0.04%"
"11/16/2018","83.600","83.785","83.805","83.785","","0.00%"
"11/15/2018","83.600","83.865","85.170","83.740","","-0.05%"
"11/14/2018","83.640","83.875","83.890","83.760","","0.34%"
"11/13/2018","83.360","83.845","83.890","83.605","","-0.55%"
"11/12/2018","83.820","83.845","83.845","83.835","","0.83%"
"11/09/2018","83.130","83.745","83.775","83.545","","-0.57%"
"11/08/2018","83.610","83.845","83.890","83.730","","0.11%"
"11/07/2018","83.520","83.835","83.905","83.685","","0.12%"
"11/06/2018","83.420","83.865","85.170","83.635","","-0.38%"
"11/05/2018","83.740","83.795","83.925","83.755","","0.08%"
"11/02/2018","83.670","83.825","85.170","83.755","","-0.04%"
"11/01/2018","83.700","83.895","83.970","83.665","","-0.08%"
"10/31/2018","83.770","85.260","85.345","83.770","","-1.47%"
"10/30/2018","85.020","85.140","85.340","83.675","","0.28%"
"10/29/2018","84.780","85.275","85.350","83.665","","-0.32%"
"10/26/2018","85.050","85.275","85.315","83.760","","0.00%"
